label,chem,role,cond,theo,R2,U_gr,w_gr_mV,U_si,w_si_mV,f_Si_fit,f_Si_exp,source
Gr_c1,graphite,anode,pOCV/25C,372.0,0.9577,0.1061;0.1429;0.1455;0.2274,1.56;1.68;17.74;2.13,,,0.0,,"Zenodo 20086298 (SINTEF, CC-BY-4.0, pOCV C/50, 25C)"
Gr_c2,graphite,anode,pOCV/25C,372.0,0.9521,0.1051;0.1419;0.1445;0.2277,1.67;1.54;17.56;2.13,,,0.0,,"Zenodo 20086298 (SINTEF, CC-BY-4.0, pOCV C/50, 25C)"
Si_c1,Si,anode,pOCV/25C,3579.0,0.9977,,,0.2858;0.426;0.4718,44.7;55.1;22.7,1.0,,"Zenodo 20086298 (SINTEF, CC-BY-4.0, pOCV C/50, 25C)"
Si_c2,Si,anode,pOCV/25C,3579.0,0.9973,,,0.2699;0.3382;0.4571,40.2;40.0;39.5,1.0,,"Zenodo 20086298 (SINTEF, CC-BY-4.0, pOCV C/50, 25C)"
SiGr1_lowSi_c1,SiGr_low,anode,pOCV/25C,510.0,0.9832,0.1009;0.1395;0.14;0.2243,1.59;23.73;1.63;1.82,0.4326;0.4506,10.0;150.4,0.501,0.302,"Zenodo 20086298 (SINTEF, CC-BY-4.0, pOCV C/50, 25C)"
SiGr1_lowSi_c2,SiGr_low,anode,pOCV/25C,510.0,0.9833,0.1007;0.1384;0.1395;0.2237,1.54;1.58;22.32;1.78,0.419;0.4336,146.0;10.0,0.509,0.302,"Zenodo 20086298 (SINTEF, CC-BY-4.0, pOCV C/50, 25C)"
SiGr2_highSi_c1,SiGr_high,anode,pOCV/25C,1150.0,0.9548,0.1034;0.1373;0.1417;0.2256,3.14;24.21;3.69;1.97,0.2895;0.4584,42.6;66.9,0.774,0.755,"Zenodo 20086298 (SINTEF, CC-BY-4.0, pOCV C/50, 25C)"
SiGr2_highSi_c2,SiGr_high,anode,pOCV/25C,1150.0,0.9434,0.0997;0.1347;0.1387;0.2238,3.01;25.63;3.2;1.79,0.2881;0.45,39.2;65.8,0.764,0.755,"Zenodo 20086298 (SINTEF, CC-BY-4.0, pOCV C/50, 25C)"
SiGr3_B_c1,SiGr_B,anode,pOCV/25C,900.0,0.98,0.1015;0.1391;0.15;0.2243,4.09;4.11;39.14;1.76,0.296;0.4589,37.4;72.2,0.723,0.655,"Zenodo 20086298 (SINTEF, CC-BY-4.0, pOCV C/50, 25C)"
SiGr3_B_c2,SiGr_B,anode,pOCV/25C,900.0,0.8276,0.0994;0.1371;0.1777;0.2241,4.37;5.05;12.48;1.88,0.4252;0.58,10.0;232.3,0.892,0.655,"Zenodo 20086298 (SINTEF, CC-BY-4.0, pOCV C/50, 25C)"
NMC111_c1,NMC111,cathode,pOCV/25C,,0.9943,3.7483;3.8155;3.9322;4.1845,18.64;31.12;57.26;105.48,,,0.0,,"Zenodo 20086298 (SINTEF, CC-BY-4.0, pOCV C/50, 25C) ⚠LCO아님(층상 대리)"
NMC532_c1,NMC532,cathode,pOCV/25C,,0.9952,3.721;3.774;3.8782;4.153,12.31;24.07;50.5;114.87,,,0.0,,"Zenodo 20086298 (SINTEF, CC-BY-4.0, pOCV C/50, 25C) ⚠LCO아님(층상 대리)"
Gr_Ecker2015,graphite_OCP,anode,OCP-digit,372.0,0.9725,0.0845;0.0893;0.1277;0.1703,1.51;5.36;1.82;27.31,,,0.0,,"PyBaMM Ecker2015 (Kokam 흑연 OCP, 디지타이즈)"
Gr_Enertech,graphite_OCP,anode,OCP-digit,372.0,0.9824,0.1041;0.1379;0.1565;0.2255,4.35;5.21;26.85;5.61,,,0.0,,PyBaMM Ai2020 (Enertech 흑연 OCP)
Gr_Chen2020,graphite_OCP,anode,OCP-digit,372.0,0.9648,0.079;0.093;0.1333;0.2166,3.33;2.25;2.21;2.09,,,0.0,,PyBaMM Chen2020 (LG M50 흑연 OCP)
Gr_PyBEP_xcrp,graphite_OCP,anode,OCP-digit,372.0,0.9789,0.069;0.1059;0.1195;0.198,2.8;3.01;3.77;1.99,,,0.0,,"PyBEP (xcrp 2020, 10.1016/j.xcrp.2020.100253)"
Gr_PyBEP_srep,graphite_OCP,anode,OCP-digit,372.0,0.9903,0.0805;0.1196;0.1223;0.2964,1.88;3.43;40.5;4.79,,,0.0,,"PyBEP (srep 2016, 10.1038/srep32639)"
LCO_Marquis2019,LCO,cathode,OCP-digit,,0.9653,3.7562;3.9145;3.9856;4.2677,18.24;7.02;43.13;55.57,,,0.0,,PyBaMM Marquis2019 (Doyle/Garcia Dualfoil LCO 반쪽셀 OCP)
SiFLG_S300,Si_FLG,anode,GCD/1C(sparse),,0.5531,,,0.15;0.2868;0.4661,300.0;25.1;54.6,1.0,,"Zenodo 18119350 (Si-graphene S300, sparse)"
SiFLG_S450,Si_FLG,anode,GCD/1C(sparse),,0.891,,,0.2437;0.3084;0.4558,25.8;23.9;43.0,1.0,,"Zenodo 18119350 (Si-graphene S450, sparse)"
